"dname","attrib","img","behavior","target_team","manacost","description","cooldown","dmg_type","target_type","dispellable","bkbpierce","lore","damage","is_innate"
"-{s:bonus_AbilityCooldown}s Blink Cooldown","","","","","","","","","","","","","",""
"-{s:bonus_AbilityCooldown}s Bulwark Cooldown","","","","","","","","","","","","","",""
"-{s:bonus_AbilityCooldown}s Hammer of Purity Cooldown","","","","","","","","","","","","","",""
"-{s:bonus_AbilityCooldown}s Shadowraze Cooldown","","","","","","","","","","","","","",""
"-{s:bonus_strike_internal_cd}s Storm Surge Strike Cooldown","","","","","","","","","","","","","",""
"0 Cooldown Primal Spring","","","","","","","","","","","","","",""
"1 Glaives of Wisdom Bounce","","","","","","","","","","","","","",""
"1.5x Dismember Damage/Heal","","","","","","","","","","","","","",""
"1.5x Flesh Heap and Meat Shield bonuses","","","","","","","","","","","","","",""
"10% Cooldown Reduction","","","","","","","","","","","","","",""
"100 Borrowed Time Immolation DPS","","","","","","","","","","","","","",""
"12% Chance Walrus Punch","","","","","","","","","","","","","",""
"12% Cooldown Reduction","","","","","","","","","","","","","",""
"125% Laguna Blade Damage into barrier","","","","","","","","","","","","","",""
"14% Cooldown Reduction","","","","","","","","","","","","","",""
"140% Astral Step Crit","","","","","","","","","","","","","",""
"15% Cooldown Reduction","","","","","","","","","","","","","",""
"15% Poison Sting Health Regen Reduction","","","","","","","","","","","","","",""
"15s Spell Block","","","","","","","","","","","","","",""
"17% Fireblast chance on attack","","","","","","","","","","","","","",""
"18s Spell Block","","","","","","","","","","","","","",""
"2 Acorn Shot Charges","","","","","","","","","","","","","",""
"2 Arcane Curse charges","","","","","","","","","","","","","",""
"2 Charges of Disruption","","","","","","","","","","","","","",""
"2 Dead Shot Charges","","","","","","","","","","","","","",""
"2 Flamebreak Charges","","","","","","","","","","","","","",""
"2 Ion Shell Charges ","","","","","","","","","","","","","",""
"2 Moon Glaives fired on Lucent Beam","","","","","","","","","","","","","",""
"2 Rupture Charges","","","","","","","","","","","","","",""
"2 Toss Charges","","","","","","","","","","","","","",""
"2.5x Plague Ward HP/Damage","","","","","","","","","","","","","",""
"20% Cooldown Reduction","","","","","","","","","","","","","",""
"20s Spell Block","","","","","","","","","","","","","",""
"25% Cooldown Reduction","","","","","","","","","","","","","",""
"250 AoE Laser","","","","","","","","","","","","","",""
"2x Battle Hunger Armor Multiplier","","","","","","","","","","","","","",""
"2x Overload Attack Bounce","","","","","","","","","","","","","",""
"30% Cooldown Reduction","","","","","","","","","","","","","",""
"300 AoE Press The Attack","","","","","","","","","","","","","",""
"325 AoE Lightning Bolt","","","","","","","","","","","","","",""
"35% Sand Storm Slow and Blind","","","","","","","","","","","","","",""
"350 AoE Mist Coil","","","","","","","","","","","","","",""
"350 AoE Surge","","","","","","","","","","","","","",""
"40% Cooldown Reduction","","","","","","","","","","","","","",""
"450 AoE Living Armor","","","","","","","","","","","","","",""
"450 Distance Auto Remnant in Ball Lightning","","","","","","","","","","","","","",""
"5% Fiery Soul Magic Resist Per Stack","","","","","","","","","","","","","",""
"5% Inner Beast Magic Resist","","","","","","","","","","","","","",""
"50% Cooldown Reduction","","","","","","","","","","","","","",""
"50% Gust Self Movement Speed","","","","","","","","","","","","","",""
"50% chance of Anchor Smash on attack","","","","","","","","","","","","","",""
"500 Terrorize Impact Damage","","","","","","","","","","","","","",""
"6% Cooldown Reduction","","","","","","","","","","","","","",""
"600 Mind Flare Radius","","","","","","","","","","","","","",""
"65% Cooldown Reduction","","","","","","","","","","","","","",""
"8% Cooldown Reduction","","","","","","","","","","","","","",""
"80% Magic Resistance for Chaotic Offering Golems","","","","","","","","","","","","","",""
"=1.0s Meld Hit Bash","","","","","","","","","","","","","",""
"=2 Sleight of Fist Charges","","","","","","","","","","","","","",""
"APPLICATION DAMAGE:","[]","/apps/dota2/images/dota_react/abilities/batrider_sticky_napalm_application_damage.png","Hidden","","","","","","","Yes","No","","",""
"Abyssal Horde","[{'key': 'warrior_health', 'header': 'WARRIOR/ARCHER HEALTH:', 'value': ['400', '600', '800']}, {'key': 'warrior_damage', 'header': 'WARRIOR DAMAGE:', 'value': ['18', '32', '46']}, {'key': 'warrior_mana_feedback', 'header': 'WARRIOR MANA FEEDBACK:', 'value': ['10', '20', '30'], 'generated': True}, {'key': 'warrior_mana_break_tooltip', 'header': 'WARRIOR MANA BREAK:', 'value': ['10', '20', '30']}, {'key': 'explosion', 'header': 'WARRIOR LAST WILL DMG:', 'value': ['300', '400', '500']}, {'key': 'archer_health', 'header': 'ARCHER HEALTH:', 'value': ['400', '600', '800'], 'generated': True}, {'key': 'archer_damage', 'header': 'ARCHER DAMAGE:', 'value': ['25', '40', '55']}, {'key': 'archer_aura_radius_tooltip', 'header': 'ARCHER AURA RADIUS TOOLTIP:', 'value': '1200', 'generated': True}, {'key': 'archer_move_speed', 'header': 'ARCHER AURA MOVE SPEED:', 'value': '5%'}, {'key': 'underling_spawn_interval', 'header': 'UNDERLING SPAWN INTERVAL:', 'value': '2', 'generated': True}, {'key': 'underling_search_radius', 'header': 'UNDERLING SEARCH RADIUS:', 'value': '1200', 'generated': True}, {'key': 'hull_radius', 'header': 'HULL RADIUS:', 'value': '8', 'generated': True}, {'key': 'gold_bounty', 'header': 'GOLD BOUNTY:', 'value': ['20', '30', '40'], 'generated': True}, {'key': 'xp_bounty', 'header': 'XP BOUNTY:', 'value': ['20', '30', '40'], 'generated': True}]","/apps/dota2/images/dota_react/abilities/abyssal_underlord_abyssal_horde.png","['Passive', 'Hidden']","","","After teleporting through the Fiend's Gate, Underlord brings forth a Warrior or an Archer to aid him every 2s that last for the duration of the Fiend's Gate.

The Warrior burns mana every hit, and deals magical damage to whoever kills it. The Archer has a passive movement and attack speed aura.","","","","","","","",""
"Accumulation","[{'key': 'percent_to_increment', 'header': 'PERCENT TO INCREMENT:', 'value': '50', 'generated': True}, {'key': 'bonus_all_stats_per_level_of_attributes', 'header': 'BONUS ALL STATS PER LEVEL OF ATTRIBUTES:', 'value': '2', 'generated': True}, {'key': 'bonus_all_stats_pct_tooltip', 'header': 'BONUS ALL STATS PCT TOOLTIP:', 'value': '100', 'generated': True}]","/apps/dota2/images/dota_react/abilities/morphling_accumulation.png","Passive","","","Morphling receives 50% of stat growth bonuses every half level instead of the full bonus at level up. Morphling receives +100% bonus stats from All Attributes bonus from skill points in the Talent Tree.","","","","","","","",True
"Acid Spray","[{'key': 'radius', 'header': 'RADIUS:', 'value': ['400', '475', '550', '625']}, {'key': 'duration', 'header': 'DURATION:', 'value': '15'}, {'key': 'damage', 'header': 'DAMAGE PER SECOND:', 'value': ['25', '30', '35', '40']}, {'key': 'armor_reduction', 'header': 'ARMOR REDUCTION:', 'value': ['3', '4', '5', '6']}, {'key': 'armor_allies', 'header': 'ARMOR ALLIES:', 'value': '0', 'generated': True}, {'key': 'tick_rate', 'header': 'TICK RATE:', 'value': '1', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '900', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.1', 'generated': True}]","/apps/dota2/images/dota_react/abilities/alchemist_acid_spray.png","['Point Target', 'AOE']","","110","Sprays high-pressure acid across a target area. Enemy units who step across the contaminated terrain take damage per second and have their armor reduced.","['22', '21', '20', '19']","Physical","","","No","Using traditional Alchemy from the Darkbrew family, Razzil concocts an acid that dissolves even the toughest metals.","",""
"Acid Spray grants armor to allies","","","","","","","","","","","","","",""
"Acorn Shot","[{'key': 'bonus_range', 'header': 'BONUS ATTACK RANGE:', 'value': ['75', '150', '225', '300']}, {'key': 'acorn_shot_damage', 'header': 'BONUS DAMAGE:', 'value': ['40', '80', '120', '160']}, {'key': 'base_damage_pct', 'header': 'BASE DAMAGE:', 'value': '75%'}, {'key': 'bounce_count', 'header': 'BOUNCE COUNT:', 'value': ['2', '3', '4', '5']}, {'key': 'bounce_range', 'header': 'BOUNCE RANGE:', 'value': '525', 'generated': True}, {'key': 'debuff_duration', 'header': 'SLOW DURATION:', 'value': '0.3'}, {'key': 'slow', 'header': 'MOVEMENT SLOW:', 'value': '100%'}, {'key': 'bounce_delay', 'header': 'BOUNCE DELAY:', 'value': '0.1', 'generated': True}, {'key': 'projectile_speed', 'header': 'PROJECTILE SPEED:', 'value': '2200', 'generated': True}, {'key': 'can_bounce_off_of_trees', 'header': 'CAN BOUNCE OFF OF TREES:', 'value': '0', 'generated': True}, {'key': 'bounces_after_tree_bounce', 'header': 'BOUNCES AFTER TREE BOUNCE:', 'value': '0', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '575', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.2', 'generated': True}]","/apps/dota2/images/dota_react/abilities/hoodwink_acorn_shot.png","['Unit Target', 'Point Target']","Enemy","['85', '90', '95', '100']","Fires Hoodwink's attack with an acorn at the target unit. The acorn bounces to nearby targets, slowing them and dealing a percentage of Hoodwink's attack with bonus damage.
If point targeted, a tree is created at the target position and the acorn will bounce to nearby targets. The ability may be placed on alt-cast to force this behavior.","['16', '14', '12', '10']","Physical","Hero","","No","Though she'll make do with almost anything, Oak and Ironwood acorns make the most effective projectiles -- and the bulk of Hoodwink's stash.","",""
"Activate Fire Remnant","[{'key': 'speed_multiplier', 'header': 'SPEED MULTIPLIER:', 'value': '250', 'generated': True}, {'key': 'max_charges', 'header': 'MAX CHARGES:', 'value': '3', 'generated': True}, {'key': 'charge_restore_time', 'header': 'CHARGE RESTORE TIME:', 'value': '35', 'generated': True}, {'key': 'damage', 'header': 'DAMAGE:', 'value': ['100', '200', '300'], 'generated': True}, {'key': 'radius', 'header': 'RADIUS:', 'value': '450', 'generated': True}, {'key': 'speed', 'header': 'SPEED:', 'value': '1300', 'generated': True}, {'key': 'scepter_mana_cost', 'header': 'SCEPTER MANA COST:', 'value': '75', 'generated': True}, {'key': 'shard_remnant_speed_pct', 'header': 'SHARD REMNANT SPEED PCT:', 'value': '300', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': '99999', 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.2', 'generated': True}]","/apps/dota2/images/dota_react/abilities/ember_spirit_activate_fire_remnant.png","Point Target","","['100', '125', '150']","Select the Fire Remnant to arrive at.","0","Magical","","","No","With blazing speed does a spirit fly!","",""
"Adaptive Strike (Agility)","[{'key': 'damage_base', 'header': 'BASE DAMAGE:', 'value': ['55', '65', '75', '85']}, {'key': 'damage_min', 'header': 'DAMAGE MIN AGI MULTIPLIER:', 'value': '0.5'}, {'key': 'damage_max', 'header': 'DAMAGE MAX AGI MULTIPLIER:', 'value': ['1', '1.5', '2', '2.5']}, {'key': 'projectile_speed', 'header': 'PROJECTILE SPEED:', 'value': '1150', 'generated': True}, {'key': 'shared_cooldown', 'header': 'SHARED COOLDOWN:', 'value': '3', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': ['600', '700', '800', '900'], 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.25', 'generated': True}]","/apps/dota2/images/dota_react/abilities/morphling_adaptive_strike_agi.png","Unit Target","Enemy","['40', '50', '60', '70']","Launches a surge of water toward an enemy unit, dealing base damage plus additional damage based on Morphling's agility times a multiplier. If Morphling's agility is 50% higher than strength, the maximum agility multiplier is used. 

 Also puts Adaptive Strike (Strength) on a 3 second cooldown.","['16', '14', '12', '10']","Magical","['Hero', 'Basic']","","No","The Morphling calls upon his elements to crush his opponents with waves.","",""
"Adaptive Strike (Strength)","[{'key': 'stun_min', 'header': 'STUN MIN:', 'value': '0.5'}, {'key': 'stun_max', 'header': 'STUN MAX:', 'value': ['1.2', '1.6', '2', '2.4']}, {'key': 'knockback_min', 'header': 'KNOCKBACK MIN:', 'value': '0'}, {'key': 'knockback_max', 'header': 'KNOCKBACK MAX:', 'value': '0'}, {'key': 'projectile_speed', 'header': 'PROJECTILE SPEED:', 'value': '1150', 'generated': True}, {'key': 'shared_cooldown', 'header': 'SHARED COOLDOWN:', 'value': '3', 'generated': True}, {'key': 'abilitycastrange', 'header': 'CAST RANGE:', 'value': ['600', '700', '800', '900'], 'generated': True}, {'key': 'abilitycastpoint', 'header': 'CAST TIME:', 'value': '0.25', 'generated': True}]","/apps/dota2/images/dota_react/abilities/morphling_adaptive_strike_str.png","Unit Target","Enemy","['40', '50', '60', '70']","Launches a surge of water toward an enemy unit, stunning the target based on Morphling's strength. If his strength is 50% higher than his agility, the maximum stun is dealt. 

 Also puts Adaptive Strike (Agility) on a 3 second cooldown.","['16', '14', '12', '10']","","['Hero', 'Basic']","Strong Dispels Only","No","The Morphling calls upon his elements to crush his opponents with waves.","",""
